file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,input,-43.831241319444445,-53.53226177509014,3.8881896422186926,11.443148868500742
F2BJRLP1,0.0,25.309125,input,-45.81047202192809,-45.87218769305923,3.8354738375048303,8.160836403447068
F2BJRLP3,0.0,30.7068125,input,-46.003775236079456,-46.89959495215403,3.659455927908461,10.321286244094221
F2BJRLP2,0.0,28.6474375,input,-45.43333878708552,-45.727826487538245,3.607628552623101,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,input,-43.26067834443099,-52.38130305363582,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,input,-44.79433291720361,-50.90688228607178,2.5633459565624697,12.358243745435463
